Cohort ID	Likelihood Weights	Mortality Prob
0	0.0154373652576	0.0683830806584
1	2.2446872596e-25	0.110845429082
2	3.28436037062e-72	0.0100160124744
3	2.61667610917e-08	0.0523265601685
4	7.08995507693e-34	0.0305458247144
5	4.07005669103e-52	0.0229274032676
6	8.70377028602e-30	0.0360764295929
7	0.00020342081918	0.058378501786
8	0.0105243805345	0.0655474463923
9	3.42175959548e-09	0.0854343427605
10	0.0154508481708	0.0686872320165
11	2.11742340884e-24	0.105930730056
12	1.8223933478e-22	0.0386233149624
13	1.11279625287e-52	0.132936441095
14	4.82568306756e-66	0.0138342630477
15	7.70074960303e-15	0.103865451425
16	0.0098371307514	0.0684226723314
17	3.59349998035e-08	0.0882165759824
18	1.96118464308e-37	0.0296541714033
19	2.38435778577e-24	0.0377342084719
20	2.1134005407e-40	0.122104239615
21	7.06520504578e-73	0.145556620601
22	6.85690663504e-10	0.0538793849423
23	4.19678264543e-35	0.106925166194
24	3.31547584151e-59	0.132694481321
25	1.00467590841e-59	0.135244932891
26	1.23685841322e-51	0.0219061895918
27	3.83282646631e-67	0.0154676696526
28	1.13560691058e-24	0.033776258739
29	2.02426445015e-63	0.13293995048
30	4.98094057986e-37	0.0237685567366
31	0.00326893325561	0.0689550675007
32	1.84020588245e-69	0.144104534221
33	1.28604672209e-05	0.0846431398962
34	1.03257122222e-34	0.106862795953
35	0.000678409319465	0.0541721883408
36	6.62181672551e-22	0.106110129875
37	1.48854563684e-33	0.126847594066
38	8.45286209757e-63	0.0125603588282
39	1.03257122222e-34	0.115020204092
40	3.3476141915e-75	0.148440552447
41	3.13120626029e-51	0.114743191613
42	8.41793925988e-15	0.049262158889
43	4.11680224701e-42	0.120499105983
44	2.54236035309e-48	0.0244516409209
45	0.00155407293415	0.0727050936646
46	9.42079434339e-51	0.137203370433
47	3.27839319015e-07	0.0511059807723
48	1.2333538439e-06	0.0502885474021
49	4.8512598798e-35	0.0282040000966
50	6.19577045811e-70	0.0127113741018
51	1.0117364896e-18	0.105036974612
52	4.38864929701e-23	0.03962793624
53	9.90011311413e-13	0.0471765323121
54	0.000300468545122	0.0788202422992
55	4.60079977002e-56	0.0174707563164
56	1.72456873418e-11	0.0903764647689
57	4.12441518444e-33	0.0305420004868
58	2.7614193625e-11	0.0925027751665
59	1.14008555133e-31	0.107966170403
60	1.76352452187e-46	0.0243268200359
61	0.0058520787762	0.0679678382947
62	8.5805773424e-33	0.107216022082
63	0.0124741900593	0.0679850977338
64	1.39261905974e-57	0.0169934842525
65	4.36066611715e-07	0.0850254968282
66	3.91899641216e-20	0.102931250331
67	2.46155657745e-08	0.0820844756882
68	3.53559911071e-81	0.142243265839
69	3.42175959548e-09	0.0921177056703
70	9.5079060673e-45	0.13647626814
71	7.89807965722e-36	0.0292464585805
72	3.06079942769e-31	0.0294986886151
73	7.96009924873e-41	0.123034780419
74	0.00135829614746	0.065674757178
